time, co2(ppm), temperature(C), rel_humidity(percent)
30-08-2023 18:12:51, 1481, 22.38, 74.37
30-08-2023 18:12:56, 1481, 22.39, 74.33
30-08-2023 18:13:01, 1482, 22.37, 74.32
30-08-2023 18:13:06, 1482, 22.38, 74.33
30-08-2023 18:13:11, 1482, 22.37, 74.32
30-08-2023 18:13:16, 1483, 22.38, 74.34
30-08-2023 18:13:21, 1483, 22.39, 74.34
30-08-2023 18:13:26, 1483, 22.36, 74.32
30-08-2023 18:13:31, 1484, 22.38, 74.31
30-08-2023 18:13:36, 1486, 22.37, 74.35
30-08-2023 18:13:41, 1485, 22.39, 74.40
30-08-2023 18:13:46, 1485, 22.39, 74.37
30-08-2023 18:13:51, 1484, 22.36, 74.35
30-08-2023 18:13:56, 1484, 22.38, 74.36
30-08-2023 18:14:01, 1484, 22.38, 74.36
30-08-2023 18:14:06, 1484, 22.38, 74.34
30-08-2023 18:14:11, 1484, 22.38, 74.36
30-08-2023 18:14:16, 1484, 22.37, 74.32
30-08-2023 18:14:21, 1484, 22.38, 74.32
30-08-2023 18:14:26, 1483, 22.36, 74.35
30-08-2023 18:14:31, 1484, 22.38, 74.34
30-08-2023 18:14:36, 1484, 22.38, 74.32
30-08-2023 18:14:41, 1483, 22.38, 74.33
30-08-2023 18:14:46, 1483, 22.36, 74.33
30-08-2023 18:14:51, 1482, 22.39, 74.39
30-08-2023 18:14:56, 1483, 22.38, 74.38
30-08-2023 18:15:01, 1482, 22.38, 74.38
30-08-2023 18:15:06, 1482, 22.37, 74.34
30-08-2023 18:15:11, 1483, 22.38, 74.33
30-08-2023 18:15:16, 1483, 22.36, 74.34
30-08-2023 18:15:21, 1484, 22.37, 74.34
30-08-2023 18:15:26, 1483, 22.36, 74.34
30-08-2023 18:15:31, 1484, 22.38, 74.38
30-08-2023 18:15:36, 1484, 22.38, 74.36
30-08-2023 18:15:41, 1483, 22.37, 74.39
30-08-2023 18:15:46, 1484, 22.39, 74.41
30-08-2023 18:15:51, 1484, 22.36, 74.37
30-08-2023 18:15:56, 1483, 22.40, 74.40
30-08-2023 18:16:01, 1483, 22.36, 74.38
30-08-2023 18:16:06, 1482, 22.38, 74.39
30-08-2023 18:16:11, 1480, 22.38, 74.37
30-08-2023 18:16:16, 1479, 22.39, 74.34
30-08-2023 18:16:21, 1480, 22.38, 74.36
30-08-2023 18:16:26, 1480, 22.36, 74.37
30-08-2023 18:16:31, 1479, 22.37, 74.36
30-08-2023 18:16:36, 1479, 22.39, 74.37
30-08-2023 18:16:41, 1479, 22.37, 74.36
30-08-2023 18:16:46, 1479, 22.37, 74.38
30-08-2023 18:16:51, 1478, 22.40, 74.39
30-08-2023 18:16:56, 1479, 22.38, 74.37
30-08-2023 18:17:01, 1479, 22.40, 74.42
30-08-2023 18:17:06, 1479, 22.38, 74.38
