time, co2(ppm), temperature(°C), rel_humidity(percent)
2023/09/07 18:38:14, 1055, 23.20, 87.83
2023/09/07 18:38:19, 1055, 23.18, 87.80
2023/09/07 18:38:24, 1055, 23.19, 87.81
2023/09/07 18:38:29, 1054, 23.18, 87.80
2023/09/07 18:38:34, 1054, 23.19, 87.83
2023/09/07 18:38:39, 1055, 23.19, 87.84
2023/09/07 18:38:44, 1055, 23.18, 87.82
2023/09/07 18:38:49, 1056, 23.18, 87.83
2023/09/07 18:38:54, 1056, 23.18, 87.81
2023/09/07 18:38:59, 1056, 23.18, 87.79
2023/09/07 18:39:04, 1057, 23.19, 87.83
2023/09/07 18:39:10, 1057, 23.18, 87.80
2023/09/07 18:39:15, 1057, 23.19, 87.83
2023/09/07 18:39:20, 1057, 23.17, 87.79
2023/09/07 18:39:25, 1057, 23.18, 87.79
2023/09/07 18:39:30, 1057, 23.18, 87.81
2023/09/07 18:39:35, 1057, 23.19, 87.79
2023/09/07 18:39:40, 1057, 23.18, 87.81
2023/09/07 18:39:45, 1058, 23.17, 87.77
2023/09/07 18:39:50, 1058, 23.20, 87.78
2023/09/07 18:39:55, 1058, 23.19, 87.81
2023/09/07 18:40:00, 1058, 23.16, 87.80
2023/09/07 18:40:05, 1058, 23.17, 87.80
2023/09/07 18:40:10, 1057, 23.18, 87.79
2023/09/07 18:40:15, 1058, 23.18, 87.80
2023/09/07 18:40:20, 1057, 23.21, 87.77
2023/09/07 18:40:25, 1056, 23.19, 87.77
2023/09/07 18:40:30, 1056, 23.19, 87.81
2023/09/07 18:40:35, 1056, 23.19, 87.77
2023/09/07 18:40:40, 1057, 23.17, 87.78
2023/09/07 18:40:45, 1057, 23.18, 87.81
2023/09/07 18:40:50, 1057, 23.18, 87.78
2023/09/07 18:40:55, 1056, 23.18, 87.79
2023/09/07 18:41:00, 1057, 23.18, 87.75
2023/09/07 18:41:05, 1057, 23.18, 87.80
2023/09/07 18:41:10, 1056, 23.20, 87.77
