time, co2(ppm), temperature(C), rel_humidity(percent)
01-09-2023 12:53:27, 761, 20.00, 70.51
01-09-2023 12:53:32, 766, 20.00, 70.54
01-09-2023 12:53:37, 765, 19.99, 70.52
01-09-2023 12:53:42, 765, 19.99, 70.53
01-09-2023 12:53:47, 765, 20.01, 70.53
01-09-2023 12:53:52, 766, 20.00, 70.53
01-09-2023 12:53:57, 766, 19.99, 70.54
01-09-2023 12:54:02, 766, 20.00, 70.59
01-09-2023 12:54:07, 766, 20.01, 70.56
01-09-2023 12:54:12, 766, 20.00, 70.53
01-09-2023 12:54:17, 766, 20.01, 70.54
01-09-2023 12:54:22, 766, 19.99, 70.56
01-09-2023 12:54:27, 766, 20.00, 70.55
01-09-2023 12:54:32, 766, 19.99, 70.53
01-09-2023 12:54:37, 766, 20.02, 70.56
01-09-2023 12:54:42, 766, 20.01, 70.56
01-09-2023 12:54:47, 767, 19.98, 70.57
01-09-2023 12:54:52, 769, 20.01, 70.59
01-09-2023 12:54:57, 770, 20.00, 70.58
01-09-2023 12:55:02, 770, 20.01, 70.54
01-09-2023 12:55:07, 770, 20.00, 70.60
01-09-2023 12:55:12, 770, 20.01, 70.56
01-09-2023 12:55:17, 770, 20.01, 70.58
01-09-2023 12:55:22, 770, 20.00, 70.55
01-09-2023 12:55:27, 771, 20.02, 70.58
01-09-2023 12:55:32, 771, 19.98, 70.55
01-09-2023 12:55:37, 771, 20.01, 70.54
01-09-2023 12:55:42, 771, 20.00, 70.51
01-09-2023 12:55:47, 771, 20.02, 70.52
01-09-2023 12:55:52, 771, 20.02, 70.52
01-09-2023 12:55:57, 771, 20.02, 70.57
01-09-2023 12:56:02, 772, 19.99, 70.57
01-09-2023 12:56:07, 771, 20.00, 70.55
01-09-2023 12:56:12, 771, 20.01, 70.57
01-09-2023 12:56:17, 772, 19.99, 70.53
01-09-2023 12:56:22, 771, 20.00, 70.57
01-09-2023 12:56:27, 771, 20.01, 70.52
01-09-2023 12:56:32, 772, 20.03, 70.53
01-09-2023 12:56:37, 772, 20.01, 70.49
01-09-2023 12:56:42, 772, 20.02, 70.48
01-09-2023 12:56:47, 772, 20.02, 70.51
01-09-2023 12:56:52, 772, 20.01, 70.49
01-09-2023 12:56:57, 772, 20.02, 70.47
01-09-2023 12:57:02, 773, 20.02, 70.50
01-09-2023 12:57:07, 773, 19.99, 70.51
01-09-2023 12:57:12, 773, 20.00, 70.45
01-09-2023 12:57:17, 773, 20.01, 70.52
01-09-2023 12:57:22, 773, 20.02, 70.45
01-09-2023 12:57:27, 773, 20.00, 70.47
01-09-2023 12:57:32, 774, 20.00, 70.46
01-09-2023 12:57:37, 775, 20.02, 70.43
01-09-2023 12:57:42, 774, 20.03, 70.43
01-09-2023 12:57:47, 775, 20.03, 70.47
01-09-2023 12:57:52, 775, 20.03, 70.49
01-09-2023 12:57:57, 775, 20.01, 70.48
01-09-2023 12:58:02, 775, 20.02, 70.45
01-09-2023 12:58:07, 775, 20.03, 70.43
