time,co2(ppm),temperature(°C),rel_humidity(percent)
2023-08-30 18:04:40,1471,22.38,74.28
2023-08-30 18:04:45,1472,22.38,74.26
2023-08-30 18:04:50,1474,22.38,74.25
2023-08-30 18:04:55,1473,22.36,74.26
2023-08-30 18:05:00,1473,22.38,74.28
2023-08-30 18:05:05,1473,22.39,74.29
2023-08-30 18:05:10,1474,22.4,74.3
2023-08-30 18:05:15,1474,22.37,74.3
2023-08-30 18:05:20,1474,22.38,74.3
2023-08-30 18:05:25,1474,22.41,74.31
2023-08-30 18:05:30,1474,22.38,74.3
2023-08-30 18:05:35,1474,22.4,74.29
2023-08-30 18:05:40,1474,22.36,74.28
2023-08-30 18:05:45,1475,22.37,74.29
2023-08-30 18:05:50,1475,22.39,74.27
2023-08-30 18:05:55,1475,22.4,74.26
2023-08-30 18:06:00,1477,22.38,74.28
2023-08-30 18:06:05,1477,22.38,74.3
2023-08-30 18:06:10,1477,22.38,74.27
2023-08-30 18:06:15,1477,22.39,74.29
2023-08-30 18:06:20,1477,22.37,74.27
2023-08-30 18:06:25,1477,22.4,74.33
2023-08-30 18:06:30,1477,22.38,74.26
2023-08-30 18:06:35,1477,22.39,74.33
2023-08-30 18:06:40,1478,22.37,74.28
2023-08-30 18:06:45,1478,22.37,74.26
2023-08-30 18:06:51,1478,22.36,74.28
2023-08-30 18:06:56,1477,22.38,74.31
2023-08-30 18:07:01,1477,22.38,74.28
2023-08-30 18:07:06,1477,22.38,74.33
2023-08-30 18:07:11,1476,22.39,74.27
2023-08-30 18:07:16,1477,22.38,74.29
2023-08-30 18:07:21,1477,22.39,74.3
2023-08-30 18:07:26,1477,22.39,74.28
2023-08-30 18:07:31,1477,22.39,74.3
2023-08-30 18:07:36,1477,22.38,74.28
2023-08-30 18:07:41,1477,22.4,74.3
2023-08-30 18:07:46,1477,22.39,74.31
2023-08-30 18:07:51,1478,22.39,74.3
2023-08-30 18:07:56,1478,22.38,74.28
2023-08-30 18:08:01,1478,22.41,74.31
2023-08-30 18:08:06,1478,22.38,74.25
2023-08-30 18:08:11,1478,22.38,74.28
2023-08-30 18:08:16,1480,22.39,74.32
2023-08-30 18:08:21,1481,22.38,74.3
2023-08-30 18:08:26,1481,22.38,74.32
2023-08-30 18:08:31,1482,22.39,74.3
2023-08-30 18:08:36,1482,22.38,74.25
2023-08-30 18:08:41,1482,22.39,74.31
2023-08-30 18:08:46,1482,22.4,74.3
2023-08-30 18:08:51,1483,22.38,74.26
2023-08-30 18:08:56,1482,22.36,74.25
2023-08-30 18:09:01,1482,22.39,74.27
2023-08-30 18:09:06,1481,22.38,74.28
2023-08-30 18:09:11,1481,22.38,74.29
2023-08-30 18:09:16,1480,22.39,74.29
2023-08-30 18:09:21,1480,22.41,74.31
2023-08-30 18:09:26,1480,22.38,74.32
2023-08-30 18:09:31,1480,22.39,74.28
2023-08-30 18:09:36,1480,22.38,74.28
2023-08-30 18:09:41,1480,22.39,74.3
2023-08-30 18:09:46,1480,22.39,74.3
2023-08-30 18:09:51,1481,22.4,74.31
2023-08-30 18:09:56,1481,22.38,74.31
2023-08-30 18:10:01,1481,22.39,74.3
2023-08-30 18:10:06,1481,22.38,74.33
2023-08-30 18:10:11,1481,22.38,74.29
2023-08-30 18:10:16,1481,22.38,74.3
2023-08-30 18:10:21,1480,22.39,74.29
2023-08-30 18:10:26,1480,22.38,74.27
2023-08-30 18:10:31,1481,22.39,74.31
2023-08-30 18:10:36,1481,22.38,74.32
2023-08-30 18:10:41,1481,22.36,74.31
2023-08-30 18:10:46,1481,22.36,74.28
2023-08-30 18:10:51,1481,22.39,74.33
2023-08-30 18:10:56,1481,22.37,74.33
2023-08-30 18:11:01,1480,22.39,74.35
2023-08-30 18:11:06,1481,22.4,74.32
2023-08-30 18:11:11,1481,22.4,74.33
2023-08-30 18:11:16,1482,22.38,74.33
2023-08-30 18:11:21,1482,22.39,74.3
2023-08-30 18:11:26,1482,22.38,74.31
2023-08-30 18:11:31,1481,22.4,74.34
2023-08-30 18:11:36,1481,22.38,74.34
2023-08-30 18:11:41,1481,22.38,74.31
2023-08-30 18:11:46,1482,22.38,74.32
2023-08-30 18:11:51,1481,22.38,74.34
2023-08-30 18:11:56,1481,22.37,74.31
2023-08-30 18:12:01,1481,22.37,74.31
2023-08-30 18:12:06,1482,22.39,74.33
2023-08-30 18:12:11,1482,22.39,74.31
2023-08-30 18:12:16,1481,22.4,74.31
2023-08-30 18:12:21,1482,22.38,74.33
2023-08-30 18:12:26,1482,22.38,74.32
2023-08-30 18:12:31,1483,22.37,74.33
2023-08-30 18:12:36,1482,22.38,74.33
2023-08-30 18:12:41,1482,22.38,74.31
2023-08-30 18:12:46,1482,22.38,74.36
2023-08-30 18:12:51,1481,22.38,74.37
2023-08-30 18:12:56,1481,22.39,74.33
2023-08-30 18:13:01,1482,22.37,74.32
2023-08-30 18:13:06,1482,22.38,74.33
2023-08-30 18:13:11,1482,22.37,74.32
2023-08-30 18:13:16,1483,22.38,74.34
2023-08-30 18:13:21,1483,22.39,74.34
2023-08-30 18:13:26,1483,22.36,74.32
2023-08-30 18:13:31,1484,22.38,74.31
2023-08-30 18:13:36,1486,22.37,74.35
2023-08-30 18:13:41,1485,22.39,74.4
2023-08-30 18:13:46,1485,22.39,74.37
2023-08-30 18:13:51,1484,22.36,74.35
2023-08-30 18:13:56,1484,22.38,74.36
2023-08-30 18:14:01,1484,22.38,74.36
2023-08-30 18:14:06,1484,22.38,74.34
2023-08-30 18:14:11,1484,22.38,74.36
2023-08-30 18:14:16,1484,22.37,74.32
2023-08-30 18:14:21,1484,22.38,74.32
2023-08-30 18:14:26,1483,22.36,74.35
2023-08-30 18:14:31,1484,22.38,74.34
2023-08-30 18:14:36,1484,22.38,74.32
2023-08-30 18:14:41,1483,22.38,74.33
2023-08-30 18:14:46,1483,22.36,74.33
2023-08-30 18:14:51,1482,22.39,74.39
2023-08-30 18:14:56,1483,22.38,74.38
2023-08-30 18:15:01,1482,22.38,74.38
2023-08-30 18:15:06,1482,22.37,74.34
2023-08-30 18:15:11,1483,22.38,74.33
