time, co2(ppm), temperature(°C), rel_humidity(percent)
2023-09-08 17:59:01, 1087, 23.40, 81.81
2023-09-08 17:59:06, 1086, 23.43, 81.85
2023-09-08 17:59:11, 1085, 23.43, 81.83
2023-09-08 17:59:16, 1085, 23.43, 81.81
2023-09-08 17:59:21, 1085, 23.41, 81.83
2023-09-08 17:59:26, 1085, 23.42, 81.82
2023-09-08 17:59:31, 1086, 23.45, 81.83
2023-09-08 17:59:36, 1086, 23.44, 81.85
2023-09-08 17:59:41, 1087, 23.41, 81.79
2023-09-08 17:59:46, 1087, 23.43, 81.86
2023-09-08 17:59:51, 1088, 23.43, 81.81
2023-09-08 17:59:56, 1089, 23.43, 81.82
2023-09-08 18:00:01, 1089, 23.44, 81.85
2023-09-08 18:00:06, 1090, 23.45, 81.85
2023-09-08 18:00:11, 1090, 23.44, 81.82
2023-09-08 18:00:16, 1091, 23.42, 81.84
2023-09-08 18:00:21, 1092, 23.44, 81.81
2023-09-08 18:00:26, 1092, 23.43, 81.84
2023-09-08 18:00:31, 1091, 23.43, 81.83
2023-09-08 18:00:36, 1092, 23.42, 81.78
2023-09-08 18:00:41, 1092, 23.43, 81.82
2023-09-08 18:00:46, 1092, 23.43, 81.83
2023-09-08 18:00:51, 1092, 23.43, 81.86
2023-09-08 18:00:56, 1092, 23.43, 81.87
2023-09-08 18:01:01, 1092, 23.41, 81.84
2023-09-08 18:01:06, 1092, 23.44, 81.87
2023-09-08 18:01:11, 1093, 23.43, 81.86
2023-09-08 18:01:16, 1093, 23.41, 81.82
2023-09-08 18:01:21, 1093, 23.43, 81.83
2023-09-08 18:01:26, 1092, 23.44, 81.85
2023-09-08 18:01:31, 1092, 23.43, 81.81
2023-09-08 18:01:36, 1092, 23.43, 81.90
2023-09-08 18:01:41, 1091, 23.43, 81.87
2023-09-08 18:01:46, 1092, 23.45, 81.86
2023-09-08 18:01:51, 1092, 23.43, 81.82
2023-09-08 18:01:56, 1092, 23.43, 81.85
2023-09-08 18:02:01, 1092, 23.44, 81.88
2023-09-08 18:02:06, 1092, 23.43, 81.88
2023-09-08 18:02:11, 1092, 23.41, 81.87
2023-09-08 18:02:16, 1093, 23.42, 81.85
2023-09-08 18:02:21, 1094, 23.44, 81.89
2023-09-08 18:02:26, 1094, 23.41, 81.86
2023-09-08 18:02:31, 1095, 23.43, 81.89
2023-09-08 18:02:36, 1095, 23.46, 81.90
2023-09-08 18:02:41, 1094, 23.42, 81.85
2023-09-08 18:02:46, 1095, 23.43, 81.87
2023-09-08 18:02:51, 1095, 23.43, 81.86
2023-09-08 18:02:56, 1095, 23.43, 81.90
2023-09-08 18:03:01, 1095, 23.41, 81.84
2023-09-08 18:03:06, 1096, 23.43, 81.86
2023-09-08 18:03:11, 1096, 23.45, 81.88
2023-09-08 18:03:16, 1096, 23.42, 81.89
2023-09-08 18:03:21, 1097, 23.44, 81.92
2023-09-08 18:03:26, 1096, 23.43, 81.86
2023-09-08 18:03:31, 1096, 23.43, 81.90
2023-09-08 18:03:36, 1096, 23.43, 81.91
2023-09-08 18:03:41, 1096, 23.44, 81.88
2023-09-08 18:03:46, 1097, 23.42, 81.85
2023-09-08 18:03:51, 1097, 23.42, 81.88
2023-09-08 18:03:56, 1097, 23.42, 81.92
2023-09-08 18:04:01, 1097, 23.44, 81.88
2023-09-08 18:04:06, 1097, 23.43, 81.88
2023-09-08 18:04:11, 1097, 23.42, 81.92
2023-09-08 18:04:16, 1096, 23.45, 81.90
2023-09-08 18:04:21, 1097, 23.43, 81.88
2023-09-08 18:04:26, 1097, 23.43, 81.90
2023-09-08 18:04:31, 1097, 23.44, 81.93
2023-09-08 18:04:36, 1097, 23.41, 81.90
2023-09-08 18:04:41, 1097, 23.44, 81.87
2023-09-08 18:04:46, 1097, 23.43, 81.89
2023-09-08 18:04:51, 1097, 23.42, 81.91
2023-09-08 18:04:56, 1097, 23.42, 81.90
2023-09-08 18:05:01, 1098, 23.44, 81.90
2023-09-08 18:05:06, 1097, 23.42, 81.87
2023-09-08 18:05:11, 1097, 23.43, 81.91
2023-09-08 18:05:16, 1097, 23.43, 81.92
2023-09-08 18:05:21, 1097, 23.42, 81.92
2023-09-08 18:05:26, 1097, 23.44, 81.91
2023-09-08 18:05:31, 1096, 23.42, 81.91
2023-09-08 18:05:36, 1095, 23.42, 81.91
2023-09-08 18:05:41, 1095, 23.42, 81.88
2023-09-08 18:05:46, 1096, 23.43, 81.92
2023-09-08 18:05:51, 1095, 23.40, 81.92
2023-09-08 18:05:56, 1094, 23.44, 81.92
